ROUTE,Order Number,Ticker,Exchange,Security Name,Route Number,Side,Route Status,Route TIF,Route Type,Routed Amount,Route Filled Amount,Route Avg Price,Account,Route Comm Amount,Route Comm Rate,Route Date,Route Settlement Date,Broker,Execution Broker,GTD Date,Currency,CUSIP,ISIN,Route Limit Price,Route Stop Price,SEDOL,Route Net Money,JP Comm Amount,JP Tax Amount,JP Trade Amount,JP Trade Date,Settlement Amount,User Commission,Instructions,Net Amount,FX_Rate
ROUTE,100,,,Amazon.com Inc,,BY,Filled,,,2,2,3479.49,EPPW,,,2021-04-28,2021-04-30,ZZZ,,,USD,23135106,US0231351067,,,2000019,,,,,,,,0.005000000000109139,6958.99,
ROUTE,101,,,UCB,,SL,Filled,,,263,263,78.59,WELL,,,2021-04-28,2021-04-30,ZZZ,,,EUR,B93562120,BE0003739530,,,5596991,,,,,,,,0.021482889733845836,20663.52,
ROUTE,102,,,Nomura Holding Inc,,SL,Filled,,,500,500,590.73,WELL,,,2021-04-28,2021-05-06,ZZZ,,,JPY,J58646100,JP3762600009,,,6643108,,,,,,,,0.132,295299.0,
ROUTE,103,,,Hino Motors Ltd,,SL,Filled,,,2900,2900,911.54,WELL,,,2021-04-28,2021-05-06,ZZZ,,,JPY,433406105,JP3792600003,,,6428305,,,,,,,,0.24586206896551724,2642753.0,
ROUTE,104,,,HSBC Holdings PLC,,BY,Filled,,,2074,2074,4.41,EPPW,,,2021-04-28,2021-04-30,ZZZ,,,GBP,G4634U169,GB0005405286,,,540528,,,,,,,,0.024657666345226335,9197.48,
ROUTE,105,,,Elanco Animal Hlth,,BY,Filled,,,1000,1000,31.56,WELL,,,2021-04-28,2021-04-30,ZZZ,,,USD,28414H103,US28414H1032,,,BF5L3T2,,,,,,,,0.02920000000000073,31589.2,
ROUTE,106,,,Charles Schwab Corp,,BY,Filled,,,400,400,69.59,WELL,,,2021-04-28,2021-04-30,ZZZ,,,USD,808513105,US8085131055,,,2779397,,,,,,,,0.04,27852.0,
ROUTE,107,,,HSBC Holdings PLC,,BY,Filled,,,8780,8780,4.41,WELL,,,2021-04-28,2021-04-30,ZZZ,,,GBP,G4634U169,GB0005405286,,,540528,,,,,,,,0.024769931662869695,38937.28,
ROUTE,108,,,UCB,,SL,Filled,,,264,264,78.32,WELL,,,2021-04-28,2021-04-30,ZZZ,,,EUR,B93562120,BE0003739530,,,5596991,,,,,,,,0.021515151515152618,20670.8,
ROUTE,109,,,Lowe's Companies,,SL,Filled,,,270,270,197.05,WELL,,,2021-04-28,2021-04-30,ZZZ,,,USD,548661107,US5486611073,,,2536763,,,,,,,,0.035111111111122965,53194.02,
ROUTE,110,,,Nomura Holding Inc,,SL,Filled,,,700,700,592.85,EPPW,,,2021-04-28,2021-05-06,ZZZ,,,JPY,J58646100,JP3762600009,,,6643108,,,,,,,,0.13428571428571429,414901.0,
ROUTE,111,,,Amazon.com Inc,,BY,Filled,,,11,11,3479.49,WELL,,,2021-04-28,2021-04-30,ZZZ,,,USD,23135106,US0231351067,,,2000019,,,,,,,,0.0090909090907768,38274.49,
ROUTE,112,,,Lowe's Companies,,SL,Filled,,,63,63,197.05,EPPW,,,2021-04-28,2021-04-30,ZZZ,,,USD,548661107,US5486611073,,,2536763,,,,,,,,0.035079365079380094,12411.94,
ROUTE,113,,,Charles Schwab Corp,,BY,Filled,,,300,300,69.78,WELL,,,2021-04-28,2021-04-30,ZZZ,,,USD,808513105,US8085131055,,,2779397,,,,,,,,0.00939999999999903,20936.82,
